,filter_size,hidden_dims,num_filters,pool_size,means,stddev
288,10,100,50,20,0.5188345349161985,0.010329366369198147
289,10,100,50,50,0.5325496163708479,0.015134778953175476
290,10,100,100,2,0.5102389074279029,0.01078758816602792
291,10,100,100,5,0.5147263300153643,0.012645244574241118
292,10,100,100,10,0.5140942980148837,0.011614419050224275
293,10,100,100,20,0.5192769569507397,0.007536576156484469
294,10,100,100,50,0.5362153975268318,0.012956743628188654
295,10,100,200,2,0.5100492971926087,0.01211589473845097
296,10,100,200,5,0.5138414871762728,0.006914252486040451
297,10,100,200,10,0.5180760961373948,0.010609393525321191
298,10,100,200,20,0.5109341428571006,0.016349011470877445
299,10,100,200,50,0.5237643784494801,0.017050041587559656
